symbol,source_timestamp,source_timestamp_utc,session_date,boundary_status,action_type,amount,numerator,denominator,split_ratio,raw_event_json
SPY,1466170200,2016-06-17T13:30:00+00:00,2016-06-17,IN_SCOPE,DIVIDEND,1.078,,,,"{""amount"":1.078,""date"":1466170200}"
SPY,1474032600,2016-09-16T13:30:00+00:00,2016-09-16,IN_SCOPE,DIVIDEND,1.082,,,,"{""amount"":1.082,""date"":1474032600}"
SPY,1481898600,2016-12-16T14:30:00+00:00,2016-12-16,IN_SCOPE,DIVIDEND,1.329,,,,"{""amount"":1.329,""date"":1481898600}"
QQQ,1072276200,2003-12-24T14:30:00+00:00,2003-12-24,IN_SCOPE,DIVIDEND,0.014,,,,"{""amount"":0.014,""date"":1072276200}"
QQQ,1103293800,2004-12-17T14:30:00+00:00,2004-12-17,IN_SCOPE,DIVIDEND,0.379,,,,"{""amount"":0.379,""date"":1103293800}"
QQQ,1119015000,2005-06-17T13:30:00+00:00,2005-06-17,IN_SCOPE,DIVIDEND,0.035,,,,"{""amount"":0.035,""date"":1119015000}"
QQQ,1134743400,2005-12-16T14:30:00+00:00,2005-12-16,IN_SCOPE,DIVIDEND,0.101,,,,"{""amount"":0.101,""date"":1134743400}"
QQQ,1142605800,2006-03-17T14:30:00+00:00,2006-03-17,IN_SCOPE,DIVIDEND,0.029,,,,"{""amount"":0.029,""date"":1142605800}"
QQQ,1150464600,2006-06-16T13:30:00+00:00,2006-06-16,IN_SCOPE,DIVIDEND,0.026,,,,"{""amount"":0.026,""date"":1150464600}"
QQQ,1158327000,2006-09-15T13:30:00+00:00,2006-09-15,IN_SCOPE,DIVIDEND,0.023,,,,"{""amount"":0.023,""date"":1158327000}"
QQQ,1166193000,2006-12-15T14:30:00+00:00,2006-12-15,IN_SCOPE,DIVIDEND,0.054,,,,"{""amount"":0.054,""date"":1166193000}"
QQQ,1174051800,2007-03-16T13:30:00+00:00,2007-03-16,IN_SCOPE,DIVIDEND,0.027,,,,"{""amount"":0.027,""date"":1174051800}"
QQQ,1181914200,2007-06-15T13:30:00+00:00,2007-06-15,IN_SCOPE,DIVIDEND,0.037,,,,"{""amount"":0.037,""date"":1181914200}"
QQQ,1190381400,2007-09-21T13:30:00+00:00,2007-09-21,IN_SCOPE,DIVIDEND,0.026,,,,"{""amount"":0.026,""date"":1190381400}"
QQQ,1198247400,2007-12-21T14:30:00+00:00,2007-12-21,IN_SCOPE,DIVIDEND,0.053,,,,"{""amount"":0.053,""date"":1198247400}"
QQQ,1206019800,2008-03-20T13:30:00+00:00,2008-03-20,IN_SCOPE,DIVIDEND,0.033,,,,"{""amount"":0.033,""date"":1206019800}"
QQQ,1213968600,2008-06-20T13:30:00+00:00,2008-06-20,IN_SCOPE,DIVIDEND,0.034,,,,"{""amount"":0.034,""date"":1213968600}"
QQQ,1221831000,2008-09-19T13:30:00+00:00,2008-09-19,IN_SCOPE,DIVIDEND,0.028,,,,"{""amount"":0.028,""date"":1221831000}"
QQQ,1229697000,2008-12-19T14:30:00+00:00,2008-12-19,IN_SCOPE,DIVIDEND,0.043,,,,"{""amount"":0.043,""date"":1229697000}"
QQQ,1237555800,2009-03-20T13:30:00+00:00,2009-03-20,IN_SCOPE,DIVIDEND,0.049,,,,"{""amount"":0.049,""date"":1237555800}"
QQQ,1245418200,2009-06-19T13:30:00+00:00,2009-06-19,IN_SCOPE,DIVIDEND,0.044,,,,"{""amount"":0.044,""date"":1245418200}"
QQQ,1253280600,2009-09-18T13:30:00+00:00,2009-09-18,IN_SCOPE,DIVIDEND,0.041,,,,"{""amount"":0.041,""date"":1253280600}"
QQQ,1261146600,2009-12-18T14:30:00+00:00,2009-12-18,IN_SCOPE,DIVIDEND,0.073,,,,"{""amount"":0.073,""date"":1261146600}"
QQQ,1269005400,2010-03-19T13:30:00+00:00,2010-03-19,IN_SCOPE,DIVIDEND,0.051,,,,"{""amount"":0.051,""date"":1269005400}"
QQQ,1276867800,2010-06-18T13:30:00+00:00,2010-06-18,IN_SCOPE,DIVIDEND,0.089,,,,"{""amount"":0.089,""date"":1276867800}"
QQQ,1277472600,2010-06-25T13:30:00+00:00,2010-06-25,IN_SCOPE,DIVIDEND,0.089,,,,"{""amount"":0.089,""date"":1277472600}"
QQQ,1284730200,2010-09-17T13:30:00+00:00,2010-09-17,IN_SCOPE,DIVIDEND,0.112,,,,"{""amount"":0.112,""date"":1284730200}"
QQQ,1292596200,2010-12-17T14:30:00+00:00,2010-12-17,IN_SCOPE,DIVIDEND,0.108,,,,"{""amount"":0.108,""date"":1292596200}"
QQQ,1300455000,2011-03-18T13:30:00+00:00,2011-03-18,IN_SCOPE,DIVIDEND,0.077,,,,"{""amount"":0.077,""date"":1300455000}"
QQQ,1308317400,2011-06-17T13:30:00+00:00,2011-06-17,IN_SCOPE,DIVIDEND,0.121,,,,"{""amount"":0.121,""date"":1308317400}"
QQQ,1316179800,2011-09-16T13:30:00+00:00,2011-09-16,IN_SCOPE,DIVIDEND,0.104,,,,"{""amount"":0.104,""date"":1316179800}"
QQQ,1324045800,2011-12-16T14:30:00+00:00,2011-12-16,IN_SCOPE,DIVIDEND,0.161,,,,"{""amount"":0.161,""date"":1324045800}"
QQQ,1324996200,2011-12-27T14:30:00+00:00,2011-12-27,IN_SCOPE,DIVIDEND,0.049,,,,"{""amount"":0.049,""date"":1324996200}"
QQQ,1331904600,2012-03-16T13:30:00+00:00,2012-03-16,IN_SCOPE,DIVIDEND,0.113,,,,"{""amount"":0.113,""date"":1331904600}"
QQQ,1339767000,2012-06-15T13:30:00+00:00,2012-06-15,IN_SCOPE,DIVIDEND,0.143,,,,"{""amount"":0.143,""date"":1339767000}"
QQQ,1348234200,2012-09-21T13:30:00+00:00,2012-09-21,IN_SCOPE,DIVIDEND,0.2,,,,"{""amount"":0.2,""date"":1348234200}"
QQQ,1356100200,2012-12-21T14:30:00+00:00,2012-12-21,IN_SCOPE,DIVIDEND,0.367,,,,"{""amount"":0.367,""date"":1356100200}"
QQQ,1363354200,2013-03-15T13:30:00+00:00,2013-03-15,IN_SCOPE,DIVIDEND,0.159,,,,"{""amount"":0.159,""date"":1363354200}"
QQQ,1371821400,2013-06-21T13:30:00+00:00,2013-06-21,IN_SCOPE,DIVIDEND,0.224,,,,"{""amount"":0.224,""date"":1371821400}"
QQQ,1379683800,2013-09-20T13:30:00+00:00,2013-09-20,IN_SCOPE,DIVIDEND,0.238,,,,"{""amount"":0.238,""date"":1379683800}"
QQQ,1387549800,2013-12-20T14:30:00+00:00,2013-12-20,IN_SCOPE,DIVIDEND,0.272,,,,"{""amount"":0.272,""date"":1387549800}"
QQQ,1393511400,2014-02-27T14:30:00+00:00,2014-02-27,IN_SCOPE,DIVIDEND,0.373,,,,"{""amount"":0.373,""date"":1393511400}"
QQQ,1395408600,2014-03-21T13:30:00+00:00,2014-03-21,IN_SCOPE,DIVIDEND,0.206,,,,"{""amount"":0.206,""date"":1395408600}"
QQQ,1403271000,2014-06-20T13:30:00+00:00,2014-06-20,IN_SCOPE,DIVIDEND,0.249,,,,"{""amount"":0.249,""date"":1403271000}"
