symbol,field_name,classification,emitted,remediation_action
DIA,regularMarketPrice,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,regularMarketTime,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,regularMarketVolume,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,shortName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
DIA,symbol,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,timezone,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
DIA,validRanges,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,chartPreviousClose,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,currency,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,currentTradingPeriod,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,dataGranularity,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,exchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,exchangeTimezoneName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,fiftyTwoWeekHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,fiftyTwoWeekLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,firstTradeDate,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,fullExchangeName,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,gmtoffset,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,hasPrePostMarketData,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,instrumentType,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,longName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,priceHint,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,range,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,regularMarketDayHigh,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,regularMarketDayLow,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,regularMarketPrice,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,regularMarketTime,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,regularMarketVolume,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,shortName,OUT_OF_SCOPE_DYNAMIC,False,EXCLUDED_FROM_CANONICAL_ARTIFACTS
MDY,symbol,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,timezone,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
MDY,validRanges,AUTHORIZED_STATIC,True,EMITTED_CANONICAL
