session_date,Trade Volume,Trade Value,Transaction,Opening Price,Highest Price,Lowest Price,Closing Price,Change,Mark,classification,classification_evidence
2012-10-30,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-11-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-12-06,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-12-10,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2012-12-20,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-03-20,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-03-21,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-03-28,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-05-31,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-06-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-06-28,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-07-02,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-08-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-08-15,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-09-06,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-09-14,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-10-01,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-10-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-10-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-11-06,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-11-11,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2013-11-18,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-01-06,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-01-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-06-03,50,"1,794",1,--,--,--,--, 0.00,,NO_REGULAR_0052_TRADE_ODD_LOT_ONLY,"official volume is below the 1,000-unit regular trading unit; activity exists but official regular OHLC remains '--'"
2014-06-20,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-08-14,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-08-20,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-08-21,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-08-28,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-09-12,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-09-18,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-09-19,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-09-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-10-09,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-10-24,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-10-29,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-10-30,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2014-11-21,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2015-05-04,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2015-06-18,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2015-09-18,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2015-10-22,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2015-10-29,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
2015-12-31,0,0,0,--,--,--,--, 0.00,,NO_0052_TRADE,official volume=value=transactions=0; all official OHLC='--'
