Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY,SPY
2008-05-02,14.2976713180542,23.022968292236328,15.908052444458008,27.33026885986328,9.699689865112305,17.18149757385254,10.831644058227539,23.347393035888672,13.14867877960205,101.2927017211914
2008-05-05,14.62108325958252,23.356426239013672,15.632486343383789,27.2600040435791,9.65665054321289,17.120380401611328,10.675847053527832,23.28182601928711,13.00209903717041,100.80595397949219
2008-05-06,14.738997459411621,23.97531509399414,15.798974990844727,27.365394592285156,9.774032592773438,17.230403900146484,10.673201560974121,23.23811912536621,13.057562828063965,101.6792221069336
2008-05-07,14.573917388916016,23.5288143157959,15.230627059936523,26.94384765625,9.601872444152832,17.065370559692383,10.512129783630371,23.034149169921875,12.81194019317627,99.86825561523438
2008-05-08,14.82321548461914,24.000749588012695,14.920612335205078,27.03518295288086,9.617518424987793,17.114267349243164,10.53853702545166,22.946731567382812,12.831744194030762,99.6105728149414
2008-05-09,14.637924194335938,23.955533981323242,14.920612335205078,26.866565704345703,9.586221694946289,17.01647186279297,10.572860717773438,22.92487907409668,12.756478309631348,99.42445373535156
2008-05-12,14.937750816345215,23.822721481323242,15.098579406738281,27.295127868652344,9.742729187011719,17.205944061279297,10.675847053527832,23.099708557128906,13.01794147491455,100.5411148071289
2008-05-13,15.021979331970215,24.212684631347656,14.960807800292969,27.47780418395996,9.742729187011719,17.144834518432617,10.660000801086426,22.881168365478516,13.065481185913086,100.5553970336914
2008-05-14,15.106205940246582,23.93575668334961,15.064136505126953,27.505905151367188,9.76229190826416,17.212060928344727,10.69961166381836,23.070579528808594,13.212067604064941,100.76301574707031
2008-05-15,15.278018951416016,24.25225830078125,15.213406562805176,27.66750717163086,9.950103759765625,17.419870376586914,10.689048767089844,23.0050048828125,13.338839530944824,102.02284240722656
2008-05-16,15.466680526733398,25.13677215576172,15.150250434875488,27.597246170043945,9.926627159118652,17.41376304626465,10.768269538879395,23.092432022094727,13.247716903686523,102.1158676147461
2008-05-19,15.426249504089355,25.292200088500977,15.006732940673828,27.90637969970703,9.977492332458496,17.511560440063477,10.889730453491211,23.23811912536621,13.25168228149414,102.3950424194336
